,trial_id,test_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.epochs,config.batch_size
27,66341b0e,0.6813079838951429,0.007338523864746094,True,,,2,8a47fd75018d4782858bfcb57e92761b,2020-11-19_22-45-00,1605825900,1052.1933975219729,239886,thetagpu21,140.221.68.31,1052.1933975219729,0,2,"8_batch_size=57,epochs=19,learning_rate=0.049572",0.04957207510807572,19,57
28,6635d53e,0.6749215967514935,0.008023262023925781,True,,,2,82f4b8a91e9646a5a241c61556b99494,2020-11-19_23-08-11,1605827291,1591.2329785823822,240034,thetagpu21,140.221.68.31,1591.2329785823822,0,2,"9_batch_size=60,epochs=29,learning_rate=0.095178",0.09517841271664287,29,60
29,61e776b6,0.6769092179834842,0.008726358413696289,True,,,2,49467ca5b2b6465ca7d8b777b3253165,2020-11-19_23-36-09,1605828969,3207.2987101078033,239986,thetagpu21,140.221.68.31,3207.2987101078033,0,2,"10_batch_size=31,epochs=57,learning_rate=0.060514",0.060513613113019914,57,31
30,0dee30ce,0.7067209964289385,0.00853729248046875,True,,,2,b0ae205a222d49368928146f811947d2,2020-11-20_00-29-31,1605832171,3176.22238445282,32587,thetagpu21,140.221.68.31,3176.22238445282,0,2,"1_batch_size=59,epochs=59,learning_rate=0.028967",0.02896712354461768,59,59
31,0dff6902,0.7402813688142976,0.009229898452758787,True,,,2,809d4a3de4a748158c75fc5a85ff3ca2,2020-11-20_00-21-13,1605831673,2678.4690823554997,32584,thetagpu21,140.221.68.31,2678.4690823554997,0,2,"2_batch_size=30,epochs=47,learning_rate=0.021639",0.021638514893822958,47,30
32,0e015d3e,0.6753386394544081,0.008817911148071289,True,,,2,60e5ce17557c4b4fa4207dc91ed0ee4c,2020-11-20_00-01-51,1605830511,1516.3471953868866,32566,thetagpu21,140.221.68.31,1516.3471953868866,0,2,"3_batch_size=62,epochs=28,learning_rate=0.037148",0.03714784329414436,28,62
33,0e06c562,0.6752389520406723,0.012964487075805664,True,,,2,91a3276acf6a430497df32ec1f07c5ea,2020-11-19_23-48-36,1605829716,721.2648096084595,32651,thetagpu21,140.221.68.31,721.2648096084595,0,2,"4_batch_size=64,epochs=13,learning_rate=0.057336",0.05733606984588785,13,64
34,0e0b2792,0.7129405778646469,0.008772134780883789,True,,,2,f0889616f87948638b1103797c3cb378,2020-11-19_23-48-58,1605829738,743.7682089805603,32507,thetagpu21,140.221.68.31,743.7682089805603,0,2,"5_batch_size=27,epochs=12,learning_rate=0.0092696",0.009269631628694094,12,27
35,0e123852,0.7440850894520248,0.009291410446166992,True,,,2,1c6f3cebcb8a4dbf8358f70929bc2e63,2020-11-20_00-30-25,1605832225,3229.9107100963593,32667,thetagpu21,140.221.68.31,3229.9107100963593,0,2,"6_batch_size=29,epochs=56,learning_rate=0.037587",0.037586504109232775,56,29
36,0e1403ee,0.6755751053492228,0.009457111358642578,True,,,2,7844caef0ccd415daf0e2bcca7c524e9,2020-11-20_00-03-54,1605830634,1639.077716588974,32647,thetagpu21,140.221.68.31,1639.077716588974,0,2,"7_batch_size=45,epochs=29,learning_rate=0.010955",0.010955238269209754,29,45
37,0e15e9ac,0.6504837186075747,0.007280588150024414,True,,,2,977ec89407a143988e6874cbff5368c4,2020-11-20_00-01-08,1605830468,1473.463721036911,32577,thetagpu21,140.221.68.31,1473.463721036911,0,2,"8_batch_size=63,epochs=27,learning_rate=0.0040526",0.004052550286502119,27,63
38,0e17abac,0.6650463500801398,0.009453773498535156,True,,,2,a4e63b1ed9da48979827a2e6447761b8,2020-11-20_00-01-03,1605830463,744.4930310249329,32550,thetagpu21,140.221.68.31,744.4930310249329,0,2,"9_batch_size=41,epochs=13,learning_rate=0.017272",0.017272130053598827,13,41
39,bdb2b68c,0.6749215967514935,0.009502887725830078,True,,,2,c206e6637ad64391b2f9d5272fb2cb32,2020-11-20_00-32-02,1605832322,2580.8195629119878,32638,thetagpu21,140.221.68.31,2580.8195629119878,0,2,"10_batch_size=60,epochs=46,learning_rate=0.049997",0.049996899586908436,46,60
40,6a92b8f4,0.6783656067111425,0.008148431777954102,True,,,2,94fb0f008f824ac7aeaa285692399b2c,2020-11-19_23-35-43,1605828943,4087.734068870544,131802,thetagpu15,140.221.68.25,4087.734068870544,0,2,"1_batch_size=28,epochs=70,learning_rate=0.098996",0.09899563211166004,70,28
41,6aabff26,0.6765674577493753,0.18668079376220706,True,,,2,2dee4fe1a05547c7aaeb77bf8088715f,2020-11-19_23-28-29,1605828509,3653.151413440704,131891,thetagpu15,140.221.68.25,3653.151413440704,0,2,"2_batch_size=36,epochs=64,learning_rate=0.066846",0.06684621435643368,64,36
42,6aada560,0.6778158276693192,0.008057832717895508,True,,,2,970afd8da12b4124987db1b67e336701,2020-11-20_00-25-24,1605831924,7068.5911695957175,131884,thetagpu15,140.221.68.25,7068.5911695957175,0,2,"3_batch_size=12,epochs=95,learning_rate=0.058183",0.05818286183164693,95,12
43,6aaf4bb8,0.679798521615308,0.010858535766601562,True,,,2,89d03bc43dd746e191fa7682cbd21e49,2020-11-19_23-16-26,1605827786,2930.115915775299,131821,thetagpu15,140.221.68.25,2930.115915775299,0,2,"4_batch_size=35,epochs=51,learning_rate=0.097548",0.09754833297464947,51,35
44,6ab0bd86,0.6816658222675324,0.009056568145751951,True,,,2,76153f8c6ff94e8a88fbd349d79969cb,2020-11-19_23-26-06,1605828366,3510.354711055756,131872,thetagpu15,140.221.68.25,3510.354711055756,0,2,"5_batch_size=27,epochs=58,learning_rate=0.081227",0.0812267578854982,58,27
45,6ab291c4,0.6782002976341617,0.0070765018463134766,True,,,2,d9de3c2fd03141ae8e723b2c002e2044,2020-11-19_23-55-57,1605830157,5301.576385974884,131829,thetagpu15,140.221.68.25,5301.576385974884,0,2,"6_batch_size=24,epochs=93,learning_rate=0.08474",0.08474033348044496,93,24
46,6ab41378,0.6790278006631595,0.008177518844604492,True,,,2,700f2be93a544078a9722973b36c0200,2020-11-19_23-53-32,1605830012,5155.931135177612,131735,thetagpu15,140.221.68.25,5155.931135177612,0,2,"7_batch_size=39,epochs=90,learning_rate=0.096098",0.09609832259684478,90,39
47,6ab5ac2e,0.7576993179321289,0.007208824157714844,True,,,2,fa959e25478344ce8939152f5a69a7e2,2020-11-20_00-00-39,1605830439,5583.598549604417,131889,thetagpu15,140.221.68.25,5583.598549604417,0,2,"8_batch_size=27,epochs=96,learning_rate=0.039046",0.03904638055659628,96,27
48,6ab74f0c,0.6776866455078125,0.007676839828491211,True,,,2,ccfc185a919a4610b2fc4a6b61810506,2020-11-20_01-18-25,1605835105,7316.119850158691,131755,thetagpu15,140.221.68.25,7316.119850158691,0,2,"9_batch_size=1,epochs=52,learning_rate=0.046619",0.04661866567017387,52,1
49,3f3b1b54,0.6776866455078125,0.008428573608398438,True,,,2,578f84e7ae4a4559812b660851c4c3a5,2020-11-20_00-34-13,1605832453,4084.268589496613,131906,thetagpu15,140.221.68.25,4084.268589496613,0,2,"10_batch_size=4,epochs=59,learning_rate=0.086698",0.08669798241947946,59,4
50,5ff96ace,0.6778477212730174,0.008192777633666992,True,,,2,d2e568808c304dd48c2bb47213859f70,2020-11-20_02-41-47,1605840107,4961.713727235794,243827,thetagpu15,140.221.68.25,4961.713727235794,0,2,"1_batch_size=3,epochs=65,learning_rate=0.019221",0.019220833755113888,65,3
51,60126092,0.6900880225002766,0.011707305908203123,True,,,2,8b6e00db35394a02a0b9d9879e249410,2020-11-20_02-09-58,1605838198,3053.126694917679,243881,thetagpu15,140.221.68.25,3053.126694917679,0,2,"2_batch_size=39,epochs=53,learning_rate=0.016539",0.01653890523972141,53,39
52,6014410a,0.7578349167274104,0.007063865661621094,True,,,2,4a0a9296d72049f8948270e7b2b9509c,2020-11-20_03-11-42,1605841902,6756.973154544829,243861,thetagpu15,140.221.68.25,6756.973154544829,0,2,"3_batch_size=28,epochs=98,learning_rate=0.026371",0.026370517906747208,98,28
53,6015dc72,0.6775457710568195,0.008049488067626953,True,,,2,86282e3219ba460c9e18b0e231aef6df,2020-11-20_02-37-46,1605839866,4720.529745340347,243819,thetagpu15,140.221.68.25,4720.529745340347,0,2,"4_batch_size=22,epochs=81,learning_rate=0.051386",0.05138586453760869,81,22
54,6017762c,0.7102851562201977,0.008327960968017578,True,,,2,76f93ffb591d4b6998341c772af432b9,2020-11-20_02-51-50,1605840710,5564.9556691646585,243821,thetagpu15,140.221.68.25,5564.9556691646585,0,2,"5_batch_size=20,epochs=100,learning_rate=0.032805",0.03280490890206508,100,20
55,60190f32,0.6776866448641522,0.05190896987915039,True,,,2,bb478760d2c74c61b34abf71304e134b,2020-11-20_02-30-47,1605839447,4301.8280980587015,243823,thetagpu15,140.221.68.25,4301.8280980587015,0,2,"6_batch_size=5,epochs=68,learning_rate=0.029449",0.02944894527509785,68,5
56,601aa2b6,0.6776866455078125,0.00792837142944336,True,,,2,02b76c65ec7f4fe5962aec9a409a2c74,2020-11-20_03-08-53,1605841733,6587.25527358055,243843,thetagpu15,140.221.68.25,6587.25527358055,0,2,"7_batch_size=2,epochs=72,learning_rate=0.026907",0.026907081071658803,72,2
57,601c4b2a,0.6778294065905331,0.008639812469482422,True,,,2,d5358a71e90d44f1949ef2af2ef7339f,2020-11-20_02-22-45,1605838965,3819.3170235157013,243833,thetagpu15,140.221.68.25,3819.3170235157013,0,2,"8_batch_size=7,epochs=66,learning_rate=0.046124",0.04612417188344706,66,7
58,601ded4a,0.7522562527265705,0.00852656364440918,True,,,2,0946cb1bd9a9447ebb9db6f0506fb3d8,2020-11-20_03-31-57,1605843117,4916.459470510483,243789,thetagpu15,140.221.68.25,4916.459470510483,0,2,"9_batch_size=33,epochs=82,learning_rate=0.04523",0.04523007561869142,82,33
59,7da428e6,0.6426025460055773,0.007783412933349609,True,,,2,00f3fff78b1340f8b8bb25d6623a54cb,2020-11-20_03-32-30,1605843150,4182.626762390137,243863,thetagpu15,140.221.68.25,4182.626762390137,0,2,"10_batch_size=29,epochs=70,learning_rate=0.003304",0.0033039933784850552,70,29
60,6ad5c946,0.6767759528316435,0.008207559585571289,True,,,2,33937274d89c40a5afc2d800dc382701,2020-11-19_23-08-45,1605827325,2470.155757904053,94418,thetagpu14,140.221.68.24,2470.155757904053,0,2,"1_batch_size=33,epochs=43,learning_rate=0.073702",0.07370242638275132,43,33
61,6adef5de,0.6776648032600465,0.01208949089050293,True,,,2,53b1c75ab32a4c899cb264579e8e27a2,2020-11-19_22-39-42,1605825582,726.7128195762634,94481,thetagpu14,140.221.68.24,726.7128195762634,0,2,"2_batch_size=29,epochs=12,learning_rate=0.06307",0.06306989377779207,12,29
62,6ae0e4e8,0.6778477212730174,0.00920414924621582,True,,,2,bd1befbaf8a746a38be9d228e6071b4f,2020-11-19_22-50-52,1605826252,1396.6127803325653,94365,thetagpu14,140.221.68.24,1396.6127803325653,0,2,"3_batch_size=3,epochs=18,learning_rate=0.059999",0.0599992956911025,18,3
63,6ae28320,0.6982589439637419,0.008592844009399414,True,,,2,a9699aeb52b643b1a729b19b41a05fa4,2020-11-19_23-04-14,1605827054,2199.047631263733,94354,thetagpu14,140.221.68.24,2199.047631263733,0,2,"4_batch_size=29,epochs=38,learning_rate=0.041627",0.04162740261984507,38,29
64,6ae47612,0.6775559037923813,0.00890660285949707,True,,,2,da7d02f7ab67452db7d12f5bee2b73e6,2020-11-19_23-28-04,1605828484,3628.753874540329,94489,thetagpu14,140.221.68.24,3628.753874540329,0,2,"5_batch_size=34,epochs=61,learning_rate=0.051231",0.051231430141789935,61,34
65,6ae642da,0.6816658222675324,0.008084774017333984,True,,,2,61eab4612a4340e09c4f0e24afce53f8,2020-11-19_23-15-53,1605827753,2897.655972480774,94388,thetagpu14,140.221.68.24,2897.655972480774,0,2,"6_batch_size=27,epochs=50,learning_rate=0.097322",0.09732162988173304,50,27
66,6ae82276,0.6802446892169038,0.008645772933959961,True,,,2,0f12a5c711c749acb9aa25ad105b4e2e,2020-11-19_23-02-08,1605826928,2072.2490746974945,94346,thetagpu14,140.221.68.24,2072.2490746974945,0,2,"7_batch_size=18,epochs=37,learning_rate=0.066054",0.06605440384699124,37,18
